name,id
"Дипломат, частная школа",a33
Школа народного искусства Императрицы Александры Федоровны (ШНИ),a37
Средняя специальная музыкальная школа имени Н. А. Римского-Корсакова (ССМШ),a1
Суворовское военное училище МО РФ (СВУ),a739
"№ 286, школа (классы ЛНМО)",a24
"Экспресс, школа экстернат",a703
"№ 267, школа",a19
"ШКОЛА ТЕАТРА, ТЕЛЕВИДЕНИЯ И ШОУ-БИЗНЕСА (ШТТиШБ)",a39
"УСПЕХ, общеобразовательный центр",a35
"ЛОГОС, средняя школа",a40
Колледж при Санкт-Петербургском Университете Управления и Экономики (СПБУУиЭ),a799
Бизнес-школа «ДЕЛОВАЯ ВОЛНА»,a34
ШКОЛА-ПЛЮС,a38
Классическая еврейская гимназия-пансион,a42
ФРАНЦУЗСКАЯ ШКОЛА АНДРЭ МАЛЬРО в СПб,a501
"№ 231, специальная (коррекционная) школа (VIII вида)",a1097
Академическая гимназия СПбГУ,a43
Санкт-Петербургский государственный академический художественный лицей им. Б.В.Иогансона,a44
"Центр Искусства Воспитания, вальдорфская школа",a78
"Ювента, частная школа",a73
"№ 575, центр образования",a735
Радиотехнический профессиональный лицей,a736
"Человечек, школа - детский сад",a74
"АСПЕКТ, частная британская школа",a75
ИЗЮМИНКА,a76
Православная школа семьи Шостаковичей,a765
Школа им. С. Т. Шацкого,a1096
Немецкая школа при Генеральном консульстве Германии,a1118
Медицинская Гимназия с православным воспитанием детей,a136
"Паскаль Лицей, частная школа",a137
"Менахем, школа-сад, частное общеобразовательное учреждение",a140
Санкт-Петербургский технический колледж управления и коммерции (ТКУиК),a743
"РОСТ, частная школа",a139
"МАСТЕР-КЛАСС, школа вариативного обучения",a141
"№ 108, школа [ЗАКРЫТА]",a98
"№ 563, школа «Пушкинский лицей» [ЗАКРЫТА]",a129
"№ 701, начальная школа - детский сад «ИЗУМРУДНЫЙ ГОРОД»",a192
Монтессори-школа Михайловой (МШМ),a825
"Взмах, частная школа",a240
ШКОЛА РАЗГОВОРНЫХ ЯЗЫКОВ ЧОУ,a244
Санкт-Петербургское Суворовское военное училище МВД России,a814
"№ 479, школа славянских культур",a225
"ДЕЛЬТА, частная школа-детский сад",a241
"№ 279, школа индивидуального развития и обучения [ЗАКРЫТА]",a209
Центр информационной культуры (ЦИК) [ЗАКРЫТА],a811
"№ 648, школа [ЗАКРЫТА]",a755
"№ 478, школа [ЗАКРЫТА]",a263
"УЧАСТИЕ, образовательный центр",a310
Эпишкола,a738
"№ 198, школа [ЗАКРЫТА]",a292
"№ 170, школа [ЗАКРЫТА]",a283
Кронштадтский морской кадетский корпус (КМКК),a767
"№ 424, школа",a359
"Школа ""Аксон""",a764
"№ 669, центр образования",a742
Академия,a1119
"РИД, частная школа",a417
"""Северная Венеция"", гимназия",a733
"СТУДИУМ, частная общеобразовательная школа с углубленным изучением иностранного языка",a420
"№ 374, школа (кадетский класс)",a388
"САША, сад-лицей",a416
"ТЕТ-А-ТЕТ, частная школа",a419
УЧИМСЯ ВМЕСТЕ,a421
Кадетский ракетно-артиллерийский корпус (КРАК) [ЗАКРЫТА],a766
"№ 627, школа [ЗАКРЫТА]",a741
"№ 637, школа [ЗАКРЫТА]",a411
"№ 670, школа [ЗАКРЫТА]",a413
"ПРАЗДНИК+, культурологическая школа индивидуального развития полного среднего образования",a476
"ШАНС, школа индивидуального обучения",a477
"№ 24, школа-интернат для детей-сирот",a785
Православная общеобразовательная ГИМНАЗИЯ СВЯТОГО БЛАГОВЕРНОГО АЛЕКСАНДРА НЕВСКОГО,a478
"Средняя общеобразовательная школа Института специальной педагогики и психологии им. Р. Валленберга ""Бобренок""",a497
"ГЁТЕ-ШУЛЕ, немецкая школа",a498
"№ 224, школа ""Шамир""",a499
Нахимовское Военно-Морское училище,a737
ХРИСТИАНСКАЯ ШКОЛА им. И. В. Каргеля и Ф. В. Бедекера,a500
"Гранатик, начальная частная школа",a1121
Военно-космический Петра Великого кадетский корпус (ВКПВКК) [ЗАКРЫТА],a768
"Элитная гимназия ""Михайловская""",a522
"№ 671, центр образования",a517
Кадетский корпус железнодорожных войск (ККЖДВ) [ЗАКРЫТА],a769
"ГРАН, частная школа",a572
ДОВЕРИЕ,a578
Международная гимназия Ольгино,a573
НОУ ЛИЦЕЙ,a579
"ЛИДЕР, школа",a577
"№ 697, центр образования",a761
"ГРААЛЬ, частная школа",a574
Школа им. А. М. Горчакова,a602
Первый пограничный кадетский корпус Федеральной службы безопасности РФ (ППКК ФСБ),a810
ГУМАНИТАРИЙ,a601
"ЭПИГРАФ, частная школа",a654
"№ 604, школа с углубленным изучением предметов художественно-эстетического цикла [ЗАКРЫТА]",a648
"№ 659, школа [ЗАКРЫТА]",a650
"№ 647, национальная финская прогимназия для детей дошкольного и младшего школьного возраста «ТАЙМИ» [ЗАКРЫТА]",a649
Санкт-Петербургский городской Дворец творчества юных (Аничков лицей),a730
"Альма Матер, гимназия",a711
Международная школа Герценовского университета (МШГУ),a705
Экономический лицей Международного банковского института (МБИ),a808
Музыкальный лицей Комитета по культуре,a656
Обучение в диалоге,a704
"Мирт, частная школа",a708
"ПЕТЕРБУРГСКИЙ СТАНДАРТ, частная школа",a702
"УНИСОН, школа",a706
Гимназия СТЕРХ,a707
ШКОЛА ГЕРЦЕНОВСКОГО УНИВЕРСИТЕТА (ШГУ),a710
"БАЛТИКА-КОЛЛЕДЖ, частная школа",a712
"INSIGHT SCHOOL, начальная школа",a714
